,gps_ref,yelp_cafe_count,yelp_avg_cafe_rating,yelp_pub_count,yelp_avg_pub_rating
0,"53.346026,-6.243576",11,4.181818181818182,9.0,3.7222222222222223
1,"53.346637,-6.246154",11,4.2272727272727275,9.0,3.7222222222222223
2,"53.345203,-6.247163",10,4.3,11.0,3.9545454545454546
3,"53.339218,-6.240642",10,4.3,10.0,3.85
4,"53.341428,-6.24672",10,4.3,13.0,4.076923076923077
5,"53.342638,-6.238695",10,4.25,7.0,3.5714285714285716
6,"53.330362,-6.265163",10,4.2,7.0,3.7142857142857144
7,"53.347884,-6.248048",10,4.35,9.0,3.888888888888889
8,"53.344115,-6.237153",9,4.055555555555555,5.0,3.7
9,"53.343565,-6.275071",9,4.5,11.0,4.136363636363637
10,"53.343893,-6.280531",9,4.444444444444445,12.0,4.291666666666667
11,"53.350291,-6.273507",9,4.333333333333333,11.0,4.090909090909091
12,"53.343105,-6.277167",9,4.388888888888889,15.0,4.2
13,"53.347508,-6.252192",9,4.277777777777778,16.0,4.0625
14,"53.347777,-6.244239",9,4.277777777777778,9.0,3.611111111111111
15,"53.330091,-6.268044",8,4.125,6.0,3.6666666666666665
16,"53.355473,-6.264423",8,4.625,7.0,3.7857142857142856
17,"53.346874,-6.272976",8,4.3125,11.0,4.181818181818182
18,"53.35561,-6.261397",8,4.625,6.0,3.6666666666666665
19,"53.344304,-6.250427",8,4.1875,10.0,4.0
20,"53.339629,-6.243778",8,4.3125,9.0,3.7222222222222223
21,"53.351182,-6.269859",8,4.3125,10.0,4.1
22,"53.337757,-6.267699",8,4.125,10.0,4.2
23,"53.347932,-6.240928",7,4.357142857142857,6.0,3.5833333333333335
24,"53.3537415547453,-6.26530144781526",7,4.571428571428571,11.0,3.9545454545454546
25,"53.343653,-6.231755",7,3.9285714285714284,7.0,3.9285714285714284
26,"53.332383,-6.252717",7,4.071428571428571,10.0,3.85
27,"53.353331,-6.249319",7,4.357142857142857,12.0,4.25
28,"53.358115,-6.265601",7,4.5,8.0,4.125
29,"53.337494,-6.26199",7,4.071428571428571,11.0,4.181818181818182
30,"53.357043,-6.263232",7,4.642857142857143,6.0,4.333333333333333
31,"53.359246,-6.269779",7,4.214285714285714,11.0,3.9545454545454546
32,"53.349013,-6.260311",7,4.285714285714286,14.0,4.142857142857143
33,"53.356769,-6.26814",7,4.5,9.0,4.166666666666667
34,"53.34744,-6.238523",7,4.142857142857143,5.0,3.5
35,"53.352149,-6.260533",7,4.357142857142857,13.0,3.9615384615384617
36,"53.339334,-6.264699",7,4.142857142857143,10.0,4.25
37,"53.35023,-6.279696",7,4.357142857142857,8.0,4.1875
38,"53.349562,-6.278198",7,4.357142857142857,8.0,4.25
39,"53.351464,-6.255265",7,4.428571428571429,15.0,3.966666666666667
40,"53.330662,-6.260177",7,4.214285714285714,8.0,3.875
41,"53.350929,-6.265125",7,4.285714285714286,10.0,4.05
42,"53.347477,-6.28525",7,4.357142857142857,7.0,4.285714285714286
43,"53.344153,-6.233451",7,4.0,8.0,3.875
44,"53.341833,-6.231291",7,4.0,9.0,3.888888888888889
45,"53.337132,-6.26059",6,4.166666666666667,11.0,4.136363636363637
46,"53.3483,-6.266651",6,4.25,12.0,4.166666666666667
47,"53.346057,-6.268001",6,4.25,9.0,4.222222222222222
48,"53.356299,-6.258586",6,4.666666666666667,6.0,3.8333333333333335
49,"53.338755,-6.262003",6,4.083333333333333,9.0,4.222222222222222
50,"53.334123,-6.265436",6,4.25,8.0,4.0625
51,"53.350974,-6.25294",6,4.416666666666667,16.0,4.0625
52,"53.347972,-6.291804",6,4.166666666666667,6.0,3.4166666666666665
53,"53.3488,-6.281637",6,4.25,8.0,4.1875
54,"53.33403,-6.260714",6,4.25,9.0,4.0
55,"53.348875,-6.267459",6,4.25,10.0,4.05
56,"53.339434,-6.246548",5,4.2,12.0,4.041666666666667
57,"53.347106,-6.292041",5,4.1,6.0,3.8333333333333335
58,"53.347692,-6.278214",5,4.4,12.0,4.208333333333333
59,"53.332763,-6.257942",5,4.3,9.0,4.055555555555555
60,"53.33796,-6.24153",5,4.4,11.0,3.772727272727273
61,"53.358437,-6.260641",5,4.6,9.0,4.111111111111111
62,"53.336021,-6.26298",5,4.1,8.0,4.0
63,"53.347122,-6.234749",5,4.0,7.0,3.0
64,"53.347802,-6.292432",5,4.1,5.0,3.6
65,"53.340927,-6.262501",5,4.1,12.0,4.25
66,"53.359967,-6.264828",5,4.6,11.0,3.5454545454545454
67,"53.359405,-6.276142",4,4.0,6.0,3.9166666666666665
68,"53.344007,-6.266802",4,4.5,12.0,4.25
69,"53.34218,-6.254485",4,4.125,14.0,4.25
70,"53.336074,-6.252825",4,4.0,7.0,4.071428571428571
71,"53.344603,-6.263371",4,4.5,15.0,4.1
72,"53.356717,-6.256359",4,4.625,11.0,4.0
73,"53.341515,-6.256853",4,4.125,15.0,4.2
74,"53.342113,-6.310015",4,4.625,2.0,3.75
75,"53.359624,-6.260348",4,4.625,12.0,3.875
76,"53.346603,-6.296924",4,4.25,6.0,3.6666666666666665
77,"53.3547,-6.272314",4,4.375,12.0,4.041666666666667
78,"53.338614,-6.248606",4,4.125,10.0,4.15
79,"53.355954,-6.278378",4,3.875,4.0,4.0
80,"53.346867,-6.230852",4,3.75,4.0,3.375
81,"53.346985,-6.297804",4,4.25,5.0,3.6
82,"53.343897,-6.29706",4,4.25,7.0,3.7142857142857144
83,"53.341288,-6.258117",4,4.125,14.0,4.214285714285714
84,"53.334295,-6.258503",4,4.25,10.0,4.05
85,"53.340803,-6.267732",4,4.375,13.0,4.230769230769231
86,"53.354929,-6.269425",4,4.625,10.0,4.15
87,"53.354663,-6.278681",3,3.8333333333333335,9.0,3.9444444444444446
88,"53.354845,-6.247579",3,4.5,14.0,4.0
89,"53.345922,-6.254614",3,4.166666666666667,16.0,4.15625
90,"53.355173,-6.278424",3,3.8333333333333335,7.0,3.857142857142857
91,"53.343034,-6.263578",3,4.5,13.0,4.1923076923076925
92,"53.356307,-6.273717",3,4.0,8.0,4.125
93,"53.341359,-6.292951",3,3.8333333333333335,6.0,4.25
94,"53.335211,-6.2509",3,4.0,8.0,4.1875
95,"53.348279,-6.254662",3,4.166666666666667,19.0,4.131578947368421
96,"53.337824,-6.256035",3,4.0,10.0,4.2
97,"53.343368,-6.27012",3,4.5,14.0,4.178571428571429
98,"53.333653,-6.248345",2,4.25,8.0,4.3125
99,"53.336597,-6.248109",2,4.0,8.0,4.125
100,"53.334432,-6.245575",2,4.25,11.0,4.2272727272727275
101,"53.339764,-6.251988",2,4.25,12.0,4.208333333333333
102,"53.342296,-6.287661",2,4.25,8.0,4.25
103,"53.340714,-6.308191",2,4.25,2.0,3.75
104,"53.341645,-6.29719",2,3.75,4.0,3.75
105,"53.338776,-6.30395",2,4.0,3.0,3.8333333333333335
106,"53.359157,-6.281866",2,4.0,,
107,"53.335742,-6.24551",2,4.25,10.0,4.25
108,"53.357841,-6.251557",2,3.75,8.0,3.4375
109,"53.35893,-6.280337",2,4.0,4.0,4.0
110,"53.339005,-6.300217",1,4.0,4.0,3.875
111,"53.341805,-6.305085",1,4.0,2.0,3.75
112,"53.343456,-6.287409",1,4.5,11.0,3.909090909090909
